Police Force,Mid 2001,Mid 2002,Mid 2003,Mid 2004,Mid 2005,Mid 2006,Mid 2007,Mid 2008,Mid 2009,Mid 2010,
Avon and Somerset,1483.5,1502.3,1513.8,1529,1549,1563,1581.3,1595.2,1605.6,1623.2,
Bedfordshire,566.4,572.3,576,578,582.6,586.3,592,599.4,605.3,614.8,
Cambridgeshire,710,716.1,726.5,733.1,744.1,752.5,760.9,770.4,778.2,789.7,
Cheshire,983.7,985.2,988.9,991.6,995.5,998.3,1000.9,1002.9,1005.7,1009.3,
Cleveland,541.3,554.1,554.6,555,556,556.4,556.9,558.5,560,563.5,
Cumbria,487.8,488.8,491.4,494.9,496.7,496.7,496.8,495.9,495,494.4,
Derbyshire,956.6,970.3,975,979.9,985,990.7,996.1,1001.3,1004.4,1010.6,
Devon and Cornwall,1578.6,1590,1601,1614.8,1629.8,1644.1,1660.6,1667.8,1671.4,1680.4,
Dorset,693.5,696.4,696.7,696.1,698.9,702.1,709.3,711,710.2,715,
Durham,591.6,591.2,591.1,592,594.1,597,601.5,605.1,606.9,611.6,
Dyfed-Powys,488.3,491,494.2,497.1,498.3,500.5,503.9,506.7,506.3,506.1,
Essex,1616.2,1624.3,1632.2,1641.3,1654,1666,1682.9,1705.8,1720.4,1738,
Gloucestershire,565,565.9,568.4,572.4,576.3,579.4,584.6,586.2,589.1,593.5,
Greater Manchester,2482.8,2518,2528.3,2535.4,2543.9,2554.1,2565.5,2580,2600.9,2629.4,
Gwent,552.5,554.1,554.7,555.6,555.9,556.9,557.7,559.3,560.4,561.4,
Hampshire,1778.2,1788.3,1797.5,1804.1,1817.4,1826.4,1841.1,1857.2,1869.8,1884.2,
Hertfordshire,1034.9,1039.2,1043.1,1044.4,1051.5,1059.4,1070,1083.9,1095.5,1107.5,
Humberside,869.1,880.9,888.3,896.1,902.3,906.7,910.3,914.8,917.6,921.2,
Kent,1580.9,1588.3,1597.8,1608.7,1620.1,1630.1,1642,1655.2,1665.9,1684.1,
Lancashire,1415.6,1421,1429.5,1437.2,1444.4,1447,1447.6,1445.1,1445.7,1449.3,
Leicestershire,924.7,932.9,938.5,947.4,956,966.3,975.2,983.4,987.8,993.9,
Lincolnshire,647.6,656.1,664.3,674.2,679.7,685.5,691.6,695.6,697.9,703,
"London, City of",7.2,7.7,7.9,8.3,8.7,9.4,10.5,11.3,11.5,11.7,
Merseyside,1361.7,1363.9,1360.7,1359.6,1358.5,1355.8,1352.9,1350.2,1350.6,1353.4,
Metropolitan Police,7180.8,7361.3,7371.8,7404.8,7476.3,7537.2,7591.7,7657,7742.1,7813.5,
Norfolk,797.9,804.7,811.7,817.5,824.4,830.5,838,847.3,853.4,862.3,
North Wales,663.5,666.6,668.9,671.3,671.7,673.2,676,678,678.8,678.5,
North Yorkshire,751.4,756.3,761.3,767.3,771.7,776.1,781.7,788.4,796.5,802.2,
Northamptonshire,630.4,637.4,643.4,647.7,655.4,663.8,672.5,679.2,683.8,687.3,
Northumbria,1383.7,1395.2,1394.7,1394,1397.8,1399.3,1402,1407,1417.4,1431.5,
Nottinghamshire,1015.8,1024.9,1033,1042.2,1051,1056.4,1061.6,1069.9,1077.4,1086.6,
South Wales,1198.8,1206.6,1211.1,1219.4,1224.3,1231.4,1238.5,1246.1,1253.8,1260.5,
South Yorkshire,1266.5,1270.1,1273.9,1280,1288.2,1293.3,1300.3,1307.2,1317.3,1328.3,
Staffordshire,1047.6,1049.2,1052.3,1055.6,1058.8,1060.4,1062.5,1066.2,1067.6,1071.4,
Suffolk,669.4,673.2,678.9,686,694.6,698.5,704.8,710.6,714,719.5,
Surrey,1059.5,1060,1063.6,1064.7,1070.9,1079.3,1091,1100.7,1113.1,1127.3,
Sussex,1495.5,1502.1,1507.6,1515.1,1523.7,1531.8,1542.7,1553.5,1561.4,1574,
Thames Valley,2092.9,2104.3,2113.4,2122.1,2140.8,2156.7,2178.6,2201.9,2225.6,2253.5,
Warwickshire,506.2,510.1,514,517.1,521.5,524.8,529.2,533.2,535.1,536,
West Mercia,1159,1162.6,1167.1,1170.1,1173.3,1177.3,1181.6,1186.7,1189.8,1192.7,
West Midlands,2554.4,2572,2576.3,2581,2593.6,2599.7,2605,2622.3,2638.7,2655.1,
West Yorkshire,2080.2,2095,2105.8,2123.5,2148.6,2170.3,2189.4,2207,2226.7,2249.5,
Wiltshire,613.7,617.9,623,627.3,631.4,635.2,642.7,650.1,654.9,661.6,
