code,name,MYE2018,SNHP2017
K04000001,ENGLAND AND WALES9,59115800,24403600
E92000001,ENGLAND,55977200,23053700
E12000001,North East,2657900,1156600
E23000013,Cleveland,567700,241400
E23000008,Durham,633500,278200
E23000007,Northumbria,1456600,637000
E12000002,North West,7292100,3101300
E23000006,Cheshire,1059300,455500
E23000002,Cumbria,498900,224200
E23000005,Greater Manchester,2812600,1169100
E23000003,Lancashire,1498300,630600
E23000004,Merseyside,1423100,621900
E12000003,Yorkshire and The Humber,5479600,2290200
E23000012,Humberside,932100,402900
E23000009,North Yorkshire,824400,353200
E23000011,South Yorkshire,1402900,586100
E23000010,West Yorkshire,2320200,948000
E12000004,East Midlands,4804100,1982400
E23000018,Derbyshire,1053300,450700
E23000021,Leicestershire,1093200,424700
E23000020,Lincolnshire,755800,323100
E23000022,Northamptonshire,747600,306600
E23000019,Nottinghamshire,1154200,477300
E12000005,West Midlands,5900800,2382300
E23000015,Staffordshire,1131100,478200
E23000017,Warwickshire,571000,238900
E23000016,West Mercia,1282200,537500
E23000014,West Midlands,2916500,1127700
E12000006,East,6201200,2549900
E23000026,Bedfordshire,669300,262900
E23000023,Cambridgeshire,852500,339200
E23000028,Essex,1832800,753900
E23000027,Hertfordshire,1184400,480700
E23000024,Norfolk,903700,388600
E23000025,Suffolk,758600,324500
E12000007,London,8908100,3480700
E23000034,City of London,8700,3700
E23000001,Metropolitan Police,8899400,3477000
E12000008,South East,9133600,3734800
E23000030,Hampshire,1985800,824800
E23000032,Kent,1846500,757400
E23000031,Surrey,1189900,471900
E23000033,Sussex,1703800,735700
E23000029,Thames Valley,2407600,945100
E12000009,South West,5599700,2375500
E23000036,Avon and Somerset,1711500,716600
E23000035,Devon and Cornwall,1762400,753200
E23000039,Dorset,772300,338900
E23000037,Gloucestershire,633600,267200
E23000038,Wiltshire,720100,299600
W92000004,WALES,3138600,1349900
W15000004,Dyfed-Powys,518100,226800
W15000002,Gwent,591200,251100
W15000001,North Wales,698400,303300
W15000003,South Wales,1331000,568800
